"ID","时间戳","事件类型","参数1","参数2","参数3","参数4","远方就地场景","分簇控制模式","最小并簇数","使能簇标志1","使能簇标志2","退并簇标志1","退并簇标志2","安装簇数","在线簇数","堆运行状态","堆总故障","堆允充允放状态","严重故障","一般故障","轻微故障","簇汇总硬件故障","堆硬件故障","堆电压","堆电流","堆SOC","堆SOH","堆SOE","堆充电SOP","堆放电SOP","绝缘电阻+","绝缘电阻-","堆最大允许充电功率","堆最大放电允许功率","簇电压最大值","簇电压最大值簇号","簇电压最小值","簇电压最小值簇号","簇电流最大值","簇电流最大值簇号","簇电流最小值","簇电流最小值簇号","簇SOC最大值","簇SOC最大值簇号","簇SOC最小值","簇SOC最小值簇号","包电压最大值","包电压最大值簇号","包电压最大值包号","包电压最小值","包电压最小值簇号","包电压最小值包号","包温度最大值","包温度最大值簇号","包温度最大值包号","包温度最小值","包温度最小值簇号","包温度最小值包号","动力接插件温度最大值","动力接插件温度最大值簇号","动力接插件温度最大值包号","动力接插件温度最小值","动力接插件温度最小值簇号","动力接插件温度最小值包号","单体电压最大值","单体电压最大值簇号","单体电压最大值节号","单体电压最小值","单体电压最小值簇号","单体电压最小值节号","单体温度最大值","单体温度最大值簇号","单体温度最大值节号","单体温度最小值","单体温度最小值簇号","单体温度最小值节号","单体SOC最大值","单体SOC最大值簇号","单体SOC最大值节号","单体SOC最小值","单体SOC最小值簇号","单体SOC最小值节号","OCV最大值","OCV最大值簇号","OCV最小值","OCV最小值簇号","事件记录版本号","BOOT版本号","软件版本号","SOX算法版本号","退并簇算法版本号","系统DI输入状态","系统DO输出状态","EMS通讯状态","PCS通讯状态","水冷机通讯状态","I/O模块通讯状态","除湿机通讯状态","SD卡状态","网卡2 IP地址","CRC16","CRC校验"
11,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第12簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.2V","1","1","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
12,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第7簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.2V","1","1","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
13,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第4簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.2V","1","1","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
14,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第1簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.2V","1","1","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
15,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第2簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
16,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第5簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
17,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第13簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
18,"2025-11-20-00:50:21","下设接触器执行策略","第1堆","第8簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
19,"2025-11-20-00:50:22","下设接触器执行策略","第1堆","第3簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","105","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
20,"2025-11-20-00:50:22","下设接触器执行策略","第1堆","第6簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","105","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
21,"2025-11-20-00:50:22","下设接触器执行策略","第1堆","第9簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.1V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","105","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
22,"2025-11-20-00:50:23","下设接触器执行策略","第1堆","第1簇","设置脱离母线","/","就地","统一控制","1","1111111111","1111111111","0000000000","0000000000","13","0","开路","严重故障","禁充禁放","簇电压下限告警,簇绝缘电阻R+下限告警,簇绝缘电阻R-下限告警,单体电压下限告警,簇间压差上限告警","无故障","无故障","隔离开关反馈故障,PCS设备通信故障,消防设备通信故障,BMU通信故障,CAN霍尔通信故障,AFE通信故障,存在无效数据","无故障","403.5V","0.0A","29.8%","100.0%","29.8%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","1224.3V","6","0.0V","7","0.0A","1","0.0A","1","45.0%","6","14.0%","7","183.2V","6","1","93.2V","1","2","25.0℃","2","2","20.9℃","7","1","39.0℃","1","1","-40.0℃","8","2","3.53V","6","13","0V","7","1","3276.6℃","6","0","-14.0℃","2","97","57.0%","2","34","26.0%","4","1","0V","1","0V","1","EVE.0.3-251114","AHS-BOOT-V2.1 ","BAU-NB0.0.4-251119","0x0001","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","写成功","109","0","有效"
