"ID","时间戳","事件类型","参数1","参数2","参数3","参数4","远方就地场景","分簇控制模式","最小并簇数","使能簇标志1","使能簇标志2","退并簇标志1","退并簇标志2","安装簇数","在线簇数","堆运行状态","堆总故障","堆允充允放状态","严重故障","一般故障","轻微故障","簇汇总硬件故障","堆硬件故障","堆电压","堆电流","堆SOC","堆SOH","堆SOE","堆充电SOP","堆放电SOP","绝缘电阻+","绝缘电阻-","堆最大允许充电功率","堆最大放电允许功率","簇电压最大值","簇电压最大值簇号","簇电压最小值","簇电压最小值簇号","簇电流最大值","簇电流最大值簇号","簇电流最小值","簇电流最小值簇号","簇SOC最大值","簇SOC最大值簇号","簇SOC最小值","簇SOC最小值簇号","包电压最大值","包电压最大值簇号","包电压最大值包号","包电压最小值","包电压最小值簇号","包电压最小值包号","包温度最大值","包温度最大值簇号","包温度最大值包号","包温度最小值","包温度最小值簇号","包温度最小值包号","动力接插件温度最大值","动力接插件温度最大值簇号","动力接插件温度最大值包号","动力接插件温度最小值","动力接插件温度最小值簇号","动力接插件温度最小值包号","单体电压最大值","单体电压最大值簇号","单体电压最大值节号","单体电压最小值","单体电压最小值簇号","单体电压最小值节号","单体温度最大值","单体温度最大值簇号","单体温度最大值节号","单体温度最小值","单体温度最小值簇号","单体温度最小值节号","单体SOC最大值","单体SOC最大值簇号","单体SOC最大值节号","单体SOC最小值","单体SOC最小值簇号","单体SOC最小值节号","OCV最大值","OCV最大值簇号","OCV最小值","OCV最小值簇号","事件记录版本号","BOOT版本号","软件版本号","SOX算法版本号","退并簇算法版本号","系统DI输入状态","系统DO输出状态","EMS通讯状态","PCS通讯状态","水冷机通讯状态","I/O模块通讯状态","除湿机通讯状态","SD卡状态","网卡2 IP地址"
11,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
12,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
13,"2099-12-31-11:13:00","未知事件(16)","66","20","213","1","5(未定义)","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,交流电压反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.8A","2","804.4A","6","0.0%","1","0.0%","1","30.0V","1","44","25.7V","171","3","77.3℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.788V","12","3589","-3200.0℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
14,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
15,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
16,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
17,"2099-12-31-11:13:00","未知事件(16)","66","70","111","1","4(未定义)","统一控制","1","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警,BCU RT4过温告警,单体电压下限告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.8A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","171","3","77.3℃","164","3","128.1℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.788V","12","3589","-3200.0℃","6","49410","-51.2℃","127","6","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
18,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
19,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
20,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
21,"2099-12-31-11:13:00","未知事件(16)","73","34","260","1023","远方","统一控制","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警,单体电压下限告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,烟感反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.8A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","171","3","77.3℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.53V","12","3589","-3225.6℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
22,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
23,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
24,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
25,"2099-12-31-11:13:00","未知事件(16)","73","68","213","1","3(未定义)","23477(未定义)","0","0000000001","0000000000","0000000001","1111111111","1023","0","静置","7(未定义)","可充可放","单体压差上限告警,单体温差上限告警,电池包电压上限告警,电池包电压下限告警","电池包电压下限告警,电池包动力接插件负极温度上限告警,单体电压上限告警,单体电压下限告警","单体温差上限告警,簇绝缘电阻R-下限告警,簇充电电流上限告警,簇放电电流上限告警,BCU RT1过温告警,BCU RT2过温告警,单体电压下限告警","主负接触器故障汇总,预充接触器反馈故障,预充高边驱动反馈故障,烟感反馈故障,直流供电KM高边驱动反馈故障,pcs封波高边驱动反馈故障","无故障","0.2V","0.0A","0.0%","0.0%","0.0%","30.0%","100.0%","300kΩ","0kΩ","0kW","1kW","0.1V","0","0.0V","0","804.9A","2","804.5A","4","0.0%","1","0.0%","1","30.0V","1","44","25.7V","169","3","102.9℃","164","3","51.5℃","64","1","77.0℃","14","1","128.3℃","134","1","0.257V","131","513","54.53V","12","3589","-3225.6℃","6","49410","-3020.8℃","2","1537","3072.0%","254","4866","1126.4%","1","257","11264V","1","257V","0","EVE.0.2-251104","AHS-BOOT-V2.1 ","BAU-NB0.0.1-25","0x0C3B","0x0D03","0","1","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
26,"2000-12-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
27,"2000-1-1-00:00:00","未知事件(0)","0","0","0","0","远方","统一控制","0","0000000000","0000000000","0000000000","0000000000","0","0","静置","无故障","可充可放","无故障","无故障","无故障","无故障","无故障","0.0V","0.0A","0.0%","0.0%","0.0%","0.0%","0.0%","0kΩ","0kΩ","0kW","0kW","0.0V","0","0.0V","0","0.0A","0","0.0A","0","0.0%","0","0.0%","0","0.0V","0","0","0.0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0.0℃","0","0","0V","0","0","0V","0","0","0.0℃","0","0","0.0℃","0","0","0.0%","0","0","0.0%","0","0","0V","0","0V","0","/","/","/","--","--","0","0","通讯正常","通讯正常","通讯正常","通讯正常","通讯正常","SD卡路径不存在","0"
